Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),23:00,08:00,09h 00m,450,29 Seats available,"4.8
574",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,474,22 Seats available,"4.5
645",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:25,07:35,08h 10m,601,46 Seats available,"4.5
597",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
AdCity Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55,07:25,07h 30m,495,46 Seats available,"3.6
399",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,474,51 Seats available,"4.4
853",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:55,07:25,08h 30m,450,27 Seats available,"4.3
454",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50,07:40,09h 50m,648,39 Seats available,"4.1
335",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Bharat Benz A/C Semi Sleeper (2+2),22:50,07:40,08h 50m,428,41 Seats available,"4.0
264",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,06:00,07h 30m,INR 500,27 Seats available,"3.3
359",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
FlixBus,A/C Seater (2+2),23:55,08:35,08h 40m,INR 600,23 Seats available,"3.6
12",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,02:00,09h 30m,INR 1103,33 Seats available,"3.8
9",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
