Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Assam State Transport Corporation (ASTC) - 154173,NON A/C Seater Push Back (2+1),10:25,16:30,06h 05m,INR 358,28 Seats available,"4.4
36",https://www.redbus.in/bus-tickets/nagaon-to-haflong,Nagaon (Assam) to Haflong
Deep Travels,Non AC Seater (2+1),10:00,17:00,07h 00m,INR 400,35 Seats available,2.0,https://www.redbus.in/bus-tickets/nagaon-to-haflong,Nagaon (Assam) to Haflong
Assam State Transport Corporation (ASTC) - 139496,NON A/C Seater Push Back (2+1),09:30,16:30,07h 00m,INR 273,31 Seats available,"3.5
47",https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat
Bashudev Transline (Under ASTC),A/C Seater (2+1),06:45,11:50,05h 05m,INR 550,37 Seats available,"4.3
13",https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat
SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),07:30,12:30,05h 00m,INR 600,31 Seats available,"4.6
10",https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat
Aniruddha Travels,AC Seater (2+2),07:30,14:00,06h 30m,500,43 Seats available,3.5,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat
Baikuntha Transport Service,Bharat Benz A/C Sleeper (2+1),19:30,01:00,05h 30m,500,50 Seats available,"3.9
8",https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat
Purple Wings Coaches,A/C Seater / Sleeper (2+1),19:55,01:15,05h 20m,585,41 Seats available,3.5,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat
Shree Ram Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:45,01:40,04h 55m,530,49 Seats available,4.8,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat
Christina Travels,NON A/C Seater (2+2),08:20,12:15,03h 55m,650,45 Seats available,2.8,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat
Maa Laxmi,NON A/C Seater Push Back (2+1),18:30,23:15,04h 45m,INR 500,36 Seats available,2.7,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat
