Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Greenline,Volvo A/C Seater (2+2),11:30,15:30,04h 00m,INR 486,9 Seats available,"4.4
147",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),12:30,16:30,04h 00m,INR 486,2 Seats available,"4.2
256",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),12:55,16:45,03h 50m,INR 486,5 Seats available,"4.4
265",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),13:10,17:10,04h 00m,INR 486,5 Seats available,"4.5
155",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Greenline,Volvo A/C Seater (2+2),13:30,17:20,03h 50m,INR 486,14 Seats available,"4.3
59",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),13:45,17:45,04h 00m,INR 486,6 Seats available,"4.5
299",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C Semi Sleeper (2+2),14:10,18:00,03h 50m,INR 486,16 Seats available,"4.1
218",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),14:20,18:10,03h 50m,INR 486,2 Seats available,"4.7
351",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Greenline,Scania Multi-Axle AC Semi Sleeper (2+2),14:50,18:50,04h 00m,INR 486,21 Seats available,"4.1
124",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),15:10,19:00,03h 50m,INR 486,19 Seats available,"4.5
308",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Satya Paribahan,A/C Seater (2+3),23:00,05:10,06h 10m,352,28 Seats available,"3.3
22",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
