Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
APSRTC - 2538,Super Luxury (Non AC Seater 2+2 Push Back),00:15,04:15,04h 00m,INR 250,30 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2837,Super Luxury (Non AC Seater 2+2 Push Back),00:30,03:30,03h 00m,INR 250,34 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 23551,Super Luxury (Non AC Seater 2+2 Push Back),00:45,04:45,04h 00m,INR 250,34 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2536,INDRA(A.C. Seater),01:15,04:30,03h 15m,INR 340,35 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 23537,Super Luxury (Non AC Seater 2+2 Push Back),01:30,05:30,04h 00m,INR 250,14 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3714,Super Luxury (Non AC Seater 2+2 Push Back),03:25,07:20,03h 55m,INR 250,17 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2651,Super Luxury (Non AC Seater 2+2 Push Back),04:00,07:00,03h 00m,INR 281,25 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2855,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",05:00,09:30,04h 30m,INR 269,35 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2214,Super Luxury (Non AC Seater 2+2 Push Back),05:15,09:15,04h 00m,INR 281,28 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2659,INDRA(A.C. Seater),05:20,08:20,03h 00m,INR 340,21 Seats available, ,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
